name,price,availability,item_type,description,product_format,number_in_case,product_weight_numeric,product_weight_metric
Ensure Max Protein,$29.97,In stock,SKU#:67281,"30g PROTEIN: Each shake has 30g of high-quality protein to help build muscle, as well as 1g sugar and 1.5g fat
TARGETED NUTRITION: High protein with 25 vitamins and minerals, and 150 calories
NEW FLAVORS: Enjoy delicious new French Vanilla and Mixed Berry, plus Milk Chocolate and Café Mocha
DOCTOR-RECOMMENDED BRAND: Ensure is the #1 doctor-recommended brand
Suitable for lactose intolerance* and gluten-free

From the #1 doctor-recommended brand, Ensure Max Protein nutrition shakes provide targeted nutrition to help you stay healthy, active, and energetic. Each delicious ready-to-drink shake has 30g of high-quality protein to help keep muscles strong and satisfy hunger; and 150 calories, 25 essential vitamins and minerals, 1g sugar, 1.5g fat.
* Not for people with galactosemia.
",Tetra, Case of 12                 ,11,oz
Ensure Original Nutrition Shake,$35.96,In stock,SKU#:53806,"STRENGTH & ENERGY: Nutrition scientifically designed for Strength & Energy
COMPLETE NUTRITION: Each Ensure Original Shake has 220 calories and 9 grams of protein to provide you with complete nutrition at less than $2 per serving
GREAT TASTE: A great tasting way to get protein and antioxidants (Vitamins C, E & Selenium) every day
Gluten-free and suitable for lactose intolerance (Not for people with galactosemia)
DAILY USE: Drink 1-2 shakes daily for strength and energy

From the #1 doctor recommended brand, Ensure Original Nutrition Shakes provide complete and balanced nutrition to help you stay healthy, active and energetic.
",bottle, Case of 24                ,8,oz
Ensure Original Nutrition Shake,$35.96,In stock,SKU#:66910,"STRENGTH & ENERGY: Nutrition scientifically designed for Strength & Energy
COMPLETE NUTRITION: Each Ensure Original Shake has 220 calories and 9 grams of protein to provide you with complete nutrition at less than $2 per serving
GREAT TASTE: A great tasting way to get protein and antioxidants (Vitamins C, E & Selenium) every day
Gluten-free and suitable for lactose intolerance (Not for people with galactosemia)
DAILY USE: Drink 1-2 shakes daily for strength and energy

From the #1 doctor recommended brand, Ensure Original Nutrition Shakes provide complete and balanced nutrition to help you stay healthy, active and energetic.
",bottle, Case of 24                ,8,oz
Ensure Original Nutrition Shake,$35.96,In stock,SKU#:57240,"STRENGTH & ENERGY: Nutrition scientifically designed for Strength & Energy
COMPLETE NUTRITION: Each Ensure Original Shake has 220 calories and 9 grams of protein to provide you with complete nutrition at less than $2 per serving
GREAT TASTE: A great tasting way to get protein and antioxidants (Vitamins C, E & Selenium) every day
Gluten-free and suitable for lactose intolerance (Not for people with galactosemia)
DAILY USE: Drink 1-2 shakes daily for strength and energy

From the #1 doctor recommended brand, Ensure Original Nutrition Shakes provide complete and balanced nutrition to help you stay healthy, active and energetic.
",bottle, Case of 24                ,8,oz
Ensure Clear Therapeutic Nutrition Drink,$49.99,In stock,SKU#:64903,"Ensure Clear Therapeutic Nutrition is a great-tasting, clear liquid nutrition drink that contains high-quality protein and essential nutrients. Ensure Clear is fat-free, making it an ideal choice for patients on clear-liquid, pre- and post-surgical, bowel prep, fat-malabsorptive, and fat-restricted diets. It is also ideal for patients who prefer a fruit-flavored alternative to creamy shake-like supplements.

Good source of protein (8g/serving)
Clear liquid nutrition
Good source of 20 essential vitamins and minerals
Refreshing fruit flavors provide taste alternative

For oral use. Not for sole-source nutrition. Not for IV use.
",Tetra, Case of 24                ,8,oz
Ensure Clear Therapeutic Nutrition Drink,$49.99,In stock,SKU#:64900,"Ensure Clear Therapeutic Nutrition is a great-tasting, clear liquid nutrition drink that contains high-quality protein and essential nutrients. Ensure Clear is fat-free, making it an ideal choice for patients on clear-liquid, pre- and post-surgical, bowel prep, fat-malabsorptive, and fat-restricted diets. It is also ideal for patients who prefer a fruit-flavored alternative to creamy shake-like supplements.

Good source of protein (8g/serving)
Clear liquid nutrition
Good source of 20 essential vitamins and minerals
Refreshing fruit flavors provide taste alternative

For oral use. Not for sole-source nutrition. Not for IV use.
",Tetra, Case of 24                ,8,oz
Ensure High Protein Nutrition Shake,$39.96,In stock,SKU#:64117,"STRENGTH & ENERGY: Nutrition designed for strength & energy, with high protein, 23 vitamins & minerals, & 160 calories
HIGH PROTEIN: Ensure High Protein shakes have 16g of high-quality protein, 75% more than Ensure® Original*
NEW FLAVOR: Enjoy new Creamy Caramel, plus original Milk Chocolate, Strawberry, & Vanilla
GREAT TASTE: A delicious way to get high-quality protein & antioxidants (vitamins C, E, & selenium)
DOCTOR-RECOMMENDED BRAND: Ensure is the #1 doctor-recommended brand, & is suitable for lactose intolerance† & gluten-free


From the #1 doctor-recommended brand, Ensure High Protein nutritional shakes provide targeted high-protein nutrition to help you stay active and energetic. Each delicious shake has 16g of high-quality protein, 2g of fat, 23 essential vitamins and minerals, and 160 calories.
* 75% more protein than Ensure Original. Ensure High Protein, 16g protein/160 calories per 8 fl oz versus Ensure Original, 9g protein/220 calories per 8 fl oz.
† Not for people with galactosemia.
",bottle, Case of 24                ,8,oz
Ensure High Protein Nutrition Shake,$39.96,In stock,SKU#:64115,"STRENGTH & ENERGY: Nutrition designed for strength & energy, with high protein, 23 vitamins & minerals, & 160 calories
HIGH PROTEIN: Ensure High Protein shakes have 16g of high-quality protein, 75% more than Ensure® Original*
NEW FLAVOR: Enjoy new Creamy Caramel, plus original Milk Chocolate, Strawberry, & Vanilla
GREAT TASTE: A delicious way to get high-quality protein & antioxidants (vitamins C, E, & selenium)
DOCTOR-RECOMMENDED BRAND: Ensure is the #1 doctor-recommended brand, & is suitable for lactose intolerance† & gluten-free


From the #1 doctor-recommended brand, Ensure High Protein nutritional shakes provide targeted high-protein nutrition to help you stay active and energetic. Each delicious shake has 16g of high-quality protein, 2g of fat, 23 essential vitamins and minerals, and 160 calories.
* 75% more protein than Ensure Original. Ensure High Protein, 16g protein/160 calories per 8 fl oz versus Ensure Original, 9g protein/220 calories per 8 fl oz.
† Not for people with galactosemia.
",bottle, Case of 24                ,8,oz
Ensure High Protein Nutrition Shake,$39.96,In stock,SKU#:66546,"STRENGTH & ENERGY: Nutrition designed for strength & energy, with high protein, 27 vitamins & minerals, & 160 calories
HIGH PROTEIN: Ensure High Protein shakes have 16g of high-quality protein, 75% more than Ensure® Original*
NEW FLAVOR: Enjoy new Creamy Caramel, plus original Milk Chocolate, Strawberry, & Vanilla
GREAT TASTE: A delicious way to get high-quality protein & antioxidants (vitamins C, E, & selenium)
DOCTOR-RECOMMENDED BRAND: Ensure is the #1 doctor-recommended brand, & is suitable for lactose intolerance† & gluten-free


From the #1 doctor-recommended brand, Ensure High Protein nutritional shakes provide targeted high-protein nutrition to help you stay active and energetic. Each delicious shake has 16g of high-quality protein, 2g of fat, 27 essential vitamins and minerals, and 160 calories.
* 75% more protein than Ensure Original. Ensure High Protein, 16g protein/160 calories per 8 fl oz versus Ensure Original, 9g protein/220 calories per 8 fl oz.
† Not for people with galactosemia.
",bottle, Case of 24                ,8,oz
Ensure High Protein Nutrition Shake,$39.96,In stock,SKU#:67330,"STRENGTH & ENERGY: Nutrition designed for strength & energy, with high protein, 23 vitamins & minerals, & 160 calories
HIGH PROTEIN: Ensure High Protein shakes have 16g of high-quality protein, 75% more than Ensure® Original*
NEW FLAVOR: Enjoy new Creamy Caramel, plus original Milk Chocolate, Strawberry, & Vanilla
GREAT TASTE: A delicious way to get high-quality protein & antioxidants (vitamins C, E, & selenium)
DOCTOR-RECOMMENDED BRAND: Ensure is the #1 doctor-recommended brand, & is suitable for lactose intolerance† & gluten-free

From the #1 doctor-recommended brand, Ensure High Protein nutritional shakes provide targeted high-protein nutrition to help you stay active and energetic. Each delicious shake has 16g of high-quality protein, 2g of fat, 23 essential vitamins and minerals, and 160 calories.
* 75% more protein than Ensure Original. Ensure High Protein, 16g protein/160 calories per 8 fl oz versus Ensure Original, 9g protein/220 calories per 8 fl oz.
† Not for people with galactosemia.
",bottle, Case of 24                ,8,oz
Ensure Plus Nutrition Shake,$43.96,In stock,SKU#:57263,"STRENGTH & ENERGY: Nutrition scientifically designed for Strength & Energy
COMPLETE NUTRITION: Each Ensure Plus Shake provides 350 calories and 13 grams of protein and 27 vitamins and minerals to provide you with complete nutrition
GREAT TASTE: A great tasting way to get protein and antioxidants (Vitamins C, E, & Selenium) every day
Suitable for lactose intolerance and gluten-free. (Not for people with galactosemia)
DAILY USE: Drink 1-2 shakes daily to gain and maintain a healthy weight.

From the #1 doctor recommended brand, Ensure Plus Nutrition Shakes provide complete balanced nutrition to help you gain and maintain a healthy weight. Each shake has 13 grams of protein and 27 essential vitamins and minerals.
",bottle, Case of 24                ,8,oz
Ensure Plus Nutrition Shake,$43.96,In stock,SKU#:57266,"STRENGTH & ENERGY: Nutrition scientifically designed for Strength & Energy
COMPLETE NUTRITION: Each Ensure Plus Shake provides 350 calories and 13 grams of protein and 27 vitamins and minerals to provide you with complete nutrition
GREAT TASTE: A great tasting way to get protein and antioxidants (Vitamins C, E, & Selenium) every day
Suitable for lactose intolerance and gluten-free. (Not for people with galactosemia)
DAILY USE: Drink 1-2 shakes daily to gain and maintain a healthy weight.

From the #1 doctor recommended brand, Ensure Plus Nutrition Shakes provide complete balanced nutrition to help you gain and maintain a healthy weight. Each shake has 13 grams of protein and 27 essential vitamins and minerals.
",bottle, Case of 24                ,8,oz
Ensure Plus Nutrition Shake,$43.96,In stock,SKU#:57269,"STRENGTH & ENERGY: Nutrition scientifically designed for Strength & Energy
COMPLETE NUTRITION: Each Ensure Plus Shake provides 350 calories and 13 grams of protein and 27 vitamins and minerals to provide you with complete nutrition
GREAT TASTE: A great tasting way to get protein and antioxidants (Vitamins C, E, & Selenium) every day
Suitable for lactose intolerance and gluten-free. (Not for people with galactosemia)
DAILY USE: Drink 1-2 shakes daily to gain and maintain a healthy weight.

From the #1 doctor recommended brand, Ensure Plus Nutrition Shakes provide complete balanced nutrition to help you gain and maintain a healthy weight. Each shake has 13 grams of protein and 27 essential vitamins and minerals.
",bottle, Case of 24                ,8,oz
Ensure Plus Nutrition Shake,$43.96,In stock,SKU#:53809,"STRENGTH & ENERGY: Nutrition scientifically designed for Strength & Energy
COMPLETE NUTRITION: Each Ensure Plus Shake provides 350 calories and 13 grams of protein and 27 vitamins and minerals to provide you with complete nutrition
GREAT TASTE: A great tasting way to get protein and antioxidants (Vitamins C, E, & Selenium) every day
Suitable for lactose intolerance and gluten-free. (Not for people with galactosemia)
DAILY USE: Drink 1-2 shakes daily to gain and maintain a healthy weight.

From the #1 doctor recommended brand, Ensure Plus Nutrition Shakes provide complete balanced nutrition to help you gain and maintain a healthy weight. Each shake has 13 grams of protein and 27 essential vitamins and minerals.
",bottle, Case of 24                ,8,oz
Ensure Plus Nutrition Shake,$43.96,In stock,SKU#:57272,"STRENGTH & ENERGY: Nutrition scientifically designed for Strength & Energy
COMPLETE NUTRITION: Each Ensure Plus Shake provides 350 calories and 13 grams of protein and 27 vitamins and minerals to provide you with complete nutrition
GREAT TASTE: A great tasting way to get protein and antioxidants (Vitamins C, E, & Selenium) every day
Suitable for lactose intolerance and gluten-free. (Not for people with galactosemia)
DAILY USE: Drink 1-2 shakes daily to gain and maintain a healthy weight.

From the #1 doctor recommended brand, Ensure Plus Nutrition Shakes provide complete balanced nutrition to help you gain and maintain a healthy weight. Each shake has 13 grams of protein and 27 essential vitamins and minerals.
",bottle, Case of 24                ,8,oz
Ensure Light Nutrition Shake,$35.96,In stock,SKU#:64123,"FILL NUTRITION GAPS: Includes 12 grams of protein, 70 calories and 23 essential vitamins and minerals
GREAT TASTE: A great tasting way to get protein and antioxidants (Vitamins C, E & Selenium) every day
LOW FAT: 2g of fat per bottle
Each shake has 70 calories - 65% fewer than Ensure Original* - so you can limit your calorie intake but still get the nutrition you need
Gluten-free and suitable for lactose intolerance (Not for people with galactosemia)

From the #1 doctor recommended brand, Ensure Light provides daily nutrition with 23 vitamins and minerals, 12g protein, 0g sugar--all in 70 calories. This tasty shake can help fill your nutritional gaps.
*Ensure Original has 220 calories per serving.
",bottle, Case of 24                ,8,oz
Ensure Light Nutrition Shake,$35.96,In stock,SKU#:64121,"FILL NUTRITION GAPS: Includes 12 grams of protein, 80 calories and 23 essential vitamins and minerals
GREAT TASTE: A great tasting way to get protein and antioxidants (Vitamins C, E & Selenium) every day
LOW FAT: 2g of fat per bottle
Each shake has 80 calories - 60% fewer than Ensure Original* - so you can limit your calorie intake but still get the nutrition you need
Gluten-free and suitable for lactose intolerance (Not for people with galactosemia)

From the #1 doctor recommended brand, Ensure Light provides daily nutrition with 23 vitamins and minerals, 12g protein, 0g sugar--all in 80 calories. This tasty shake can help fill your nutritional gaps.
*Ensure Original has 220 calories per serving.
",bottle, Case of 24                ,8,oz
Ensure Enlive   ,$39.96,In stock,SKU#:64293,"COMPLETE, BALANCED NUTRITION: Scientifically designed nutrition with 26 vitamins & minerals, 20g of protein, and 350 calories
ALL-IN-ONE BLEND: Advanced nutrition with an All-in-One blend to support muscle, bone, heart, digestion, and immune health
GREAT TASTE: A delicious meal replacement from the #1 doctor-recommended brand
DAILY NUTRITION: Drink 1-2 daily—each shake has 60% DV for vitamin D, 40% DV for calcium and antioxidants*

From the #1 doctor-recommended brand, Ensure Enlive advanced nutrition shake is a meal replacement drink that offers complete, balanced nutrition with 20g of high-quality protein to help build lean muscle, 350 nutritious calories, 26 essential vitamins & minerals, and more. Ensure Enlive is our most advanced nutrition shake with our unique All-in-One blend that supports muscle, bone, heart, immune, and digestive tract health.
* Vitamins C, E, & selenium
",oz, Case of 16                ,8,fl
Ensure Enlive   ,$39.96,In stock,SKU#:64296,"STRENGTH & ENERGY: Nutrition scientifically designed for Strength & Energy
ALL-IN-ONE BLEND: Ensure Enlive contains nutrients to support muscle, bone, heart, immune, and digestive health, 20g of high-quality protein, and 350 nutritious calories
GREAT TASTE & KEY NUTRIENTS: A great-tasting way to get high-quality protein and antioxidants (Vitamins C, E, & Selenium) every day.  Each shake provides 120% daily value of Vitamin D and 50% daily value of calcium to support strong bones
DAILY USE: Drink 1-2 shakes daily to get an all-in-one blend from the most advanced Ensure nutrition shake
Suitable for lactose intolerance and gluten-free. (Not for people with galactosemia)

From the #1 doctor recommended brand, Ensure Enlive is our most advanced nutritional product, designed to help rebuild strength and energy from the inside with an ALL-IN-ONE blend to support muscle, bone, heart, immune, and digestive tract health. Ensure Enlive is specially formulated with 20 grams of protein to help maintain and rebuild lean body mass and strength.
",oz, Case of 16                ,8,fl
Ensure Enlive   ,$39.96,In stock,SKU#:64291,"STRENGTH & ENERGY: Nutrition scientifically designed for Strength & Energy
ALL-IN-ONE BLEND: Ensure Enlive contains nutrients to support muscle, bone, heart, immune, and digestive health, 20g of high-quality protein, and 350 nutritious calories
GREAT TASTE & KEY NUTRIENTS: A great-tasting way to get high-quality protein and antioxidants (Vitamins C, E, & Selenium) every day.  Each shake provides 120% daily value of Vitamin D and 50% daily value of calcium to support strong bones
DAILY USE: Drink 1-2 shakes daily to get an all-in-one blend from the most advanced Ensure nutrition shake
Suitable for lactose intolerance and gluten-free. (Not for people with galactosemia)

From the #1 doctor recommended brand, Ensure Enlive is our most advanced nutritional product, designed to help rebuild strength and energy from the inside with an ALL-IN-ONE blend to support muscle, bone, heart, immune, and digestive tract health. Ensure Enlive is specially formulated with 20 grams of protein to help maintain and rebuild lean body mass and strength.
",oz, Case of 16                ,8,fl
Ensure Clear Nutrition Drink ,$23.97,In stock,SKU#:62479,"FILL NUTRITION GAPS: Each serving of Ensure Clear Nutritional Drink is fat-free and contains 8 grams of protein and 15 essential vitamins and minerals to help you stay strong inside
FAT FREE: 0g of fat per bottle
Contains no fruit juice and is suitable for a clear liquid diet
Gluten-free and suitable for lactose intolerance (Not for people with galactosemia)

Ensure Clear Nutrition Drink is a fruit flavored nutritional drink that provides 8g of protein to help keep you going with 0g fat, from the #1 doctor recommended brand. And with 15 essential vitamins and minerals, Ensure Clear Nutrition Drink can help fill your nutritional gaps.
",bottle, Case of 12                 ,10,oz
Ensure Clear Nutrition Drink ,$23.97,In stock,SKU#:56500,"FILL NUTRITION GAPS: Each serving of Ensure Clear Nutritional Drink is fat-free and contains 8 grams of protein and 15 essential vitamins and minerals to help you stay strong inside
FAT FREE: 0g of fat per bottle
Contains no fruit juice and is suitable for a clear liquid diet
Gluten-free and suitable for lactose intolerance (Not for people with galactosemia)

Ensure Clear Nutrition Drink is a fruit flavored nutritional drink that provides 8g of protein to help keep you going with 0g fat, from the #1 doctor recommended brand. And with 15 essential vitamins and minerals, Ensure Clear Nutrition Drink can help fill your nutritional gaps.
",bottle, Case of 12                 ,10,oz
Ensure Pre-Surgery Clear Carbohydrate Drink,$12.00,In stock,SKU#:66437p4,"DELICIOUS NEW FLAVOR: Strawberry. 
TRUSTED BRAND: From #1 doctor recommended brand Ensure
RECOMMENDED AMOUNT OF CARBOHYDRATES: Contains 50 g carbohydrates (primarily maltodextrin) and it is low in osmolality, which allows for drinking up to 2 hours before surgery, and can reduce nausea and vomiting after surgery1
MEETS ENHANCED RECOVERY GUIDELINES: Meets guidelines for pre-surgery use of a clear carbohydrate beverage2,3 per the Enhanced Recovery After Surgery (ERAS)* Society
MEETS GUIDELINES FOR PREOPERATIVE FASTING4: Meets guidelines for use with preoperative fasting4 per the American Society Of Anesthesiologists (ASA)†

Ensure Pre-Surgery is specially designed to help reduce insulin resistance after surgery and improve patient outcomes.  It is designed to be consumed up to 2 hours before surgery.  Use as directed by your physician.
*ERAS is a trademark of the Enhanced Recovery After Surgery Society. This product has not been reviewed or endorsed by the ERAS Society.
†American Society of Anesthesiologists is a registered trademark of the American Society of Anesthesiologists (ASA). This product has not been reviewed or endorsed by the ASA.
‡Studies conducted using formulas containing similar nutrients as Ensure Pre-Surgery.  Be sure to follow the nutrition program recommended by your doctor.
References: 1. Ljungqvist O. Best Pract Res Clin Anaesthesiol. 2009;23(4):401-409. 2. Lassen K, et al. Clin Nutr. 2012;31(6):817-830. 3. Gustafson UO, et al. Clin Nutr. 2012;31(6):783-800. 4. American Society of Anesthesiologists Committee. Anesthesiology. 2011;114(3):495-511.
",bottle, Case of 4                ,10,oz
Ensure Pre-Surgery Clear Carbohydrate Drink,$36.00,In stock,SKU#:65044,"DELICIOUS NEW FLAVOR: Strawberry. 
TRUSTED BRAND: From #1 doctor recommended brand Ensure
RECOMMENDED AMOUNT OF CARBOHYDRATES: Contains 50 g carbohydrates (primarily maltodextrin) and it is low in osmolality, which allows for drinking up to 2 hours before surgery, and can reduce nausea and vomiting after surgery1
MEETS ENHANCED RECOVERY GUIDELINES: Meets guidelines for pre-surgery use of a clear carbohydrate beverage2,3 per the Enhanced Recovery After Surgery (ERAS)* Society
MEETS GUIDELINES FOR PREOPERATIVE FASTING4: Meets guidelines for use with preoperative fasting4 per the American Society Of Anesthesiologists (ASA)†

Ensure Pre-Surgery is specially designed to help reduce insulin resistance after surgery and improve patient outcomes.  It is designed to be consumed up to 2 hours before surgery.  Use as directed by your physician.
*ERAS is a trademark of the Enhanced Recovery After Surgery Society. This product has not been reviewed or endorsed by the ERAS Society.
†American Society of Anesthesiologists is a registered trademark of the American Society of Anesthesiologists (ASA). This product has not been reviewed or endorsed by the ASA.
‡Studies conducted using formulas containing similar nutrients as Ensure Pre-Surgery.  Be sure to follow the nutrition program recommended by your doctor.
References: 1. Ljungqvist O. Best Pract Res Clin Anaesthesiol. 2009;23(4):401-409. 2. Lassen K, et al. Clin Nutr. 2012;31(6):817-830. 3. Gustafson UO, et al. Clin Nutr. 2012;31(6):783-800. 4. American Society of Anesthesiologists Committee. Anesthesiology. 2011;114(3):495-511. 
",bottle, Case of 12                 ,10,oz
Ensure Surgery Immunonutrition Shake,$60.00,In stock,SKU#:66436,"FOR SURGERY: Ensure Surgery has EPA & DHA (omega-3 fatty acids from fish oil) and arginine to support immune health and surgical recovery
TRUSTED BRAND: Ensure Surgery immunonutrition shake is from the #1 doctor-recommended brand* Ensure
TASTE MATTERS: In a national taste test, Ensure Surgery was significantly preferred over Nestlé Impact Advanced Recovery†
ENHANCED RECOVERY: Ensure Surgery is suitable with Enhanced Recovery After Surgery (ERAS)‡ protocols

Ensure Surgery immunonutrition shake contains 18 grams of high-quality protein to support tissue repair and wound healing. It also has EPA & DHA (omega-3 fatty acids from fish oil) and arginine to support immune health and surgical recovery. Ensure Surgery meets ERAS‡ protocols for surgical recovery.
* Among doctors who recommend liquid nutrition products.
† Vs Vanilla IMPACT Advanced Recovery. Data on file. Abbott Nutrition. 2016.
‡ ERAS is a trademark of the Enhanced Recovery After Surgery Society. This product has not been reviewed or endorsed by ERAS.
Use under medical supervision.
Immunonutrition is used here to describe a product that is high in protein and contains arginine and fish oil.
SKU 66436
",Tetra, Case of 15                ,8,oz
Ensure Surgery Immunonutrition Shake,$96.00,In stock,SKU#:65047,"FOR SURGERY: Ensure Surgery has EPA & DHA (omega-3 fatty acids from fish oil) and arginine to support immune health and surgical recovery
TRUSTED BRAND: Ensure Surgery immunonutrition shake is from the #1 doctor-recommended brand* Ensure
TASTE MATTERS: In a national taste test, Ensure Surgery was significantly preferred over Nestlé Impact Advanced Recovery†
ENHANCED RECOVERY: Ensure Surgery is suitable with Enhanced Recovery After Surgery (ERAS)‡ protocols

Ensure Surgery immunonutrition shake contains 18 grams of high-quality protein to support tissue repair and wound healing. It also has EPA & DHA (omega-3 fatty acids from fish oil) and arginine to support immune health and surgical recovery. Ensure Surgery meets ERAS‡ protocols for surgical recovery.
* Among doctors who recommend liquid nutrition products.
† Vs Vanilla IMPACT Advanced Recovery. Data on file. Abbott Nutrition. 2016.
‡ ERAS is a trademark of the Enhanced Recovery After Surgery Society. This product has not been reviewed or endorsed by ERAS.
Use under medical supervision.
Immunonutrition is used here to describe a product that is high in protein and contains arginine and fish oil.
SKU 65047
",Tetra, Case of 24                ,8,oz
Ensure Plant-Based Protein Nutrition Shake,$32.97,In stock,SKU#:67453,"100% PLANT-BASED PROTEIN: 20g of protein from fava bean and pea protein to support muscle health
FREE FROM: Dairy, soy, and gluten. NO artificial sweeteners, flavors, or colors; it’s non-GMO* and has NO cholesterol
GREAT TASTE GUARANTEED: Our Vanilla & Chocolate flavors are delicious! If you don’t agree, you’ll get your money back!†
TARGETED NUTRITION: 180 nutritious calories, essential nutrients, and a good source of fiber for digestive health
#1 BRAND: Ensure is the #1 doctor-recommended brand—with trusted options to help meet your nutrition goals

Ensure Plant-Based Protein nutrition shakes have 20g of plant-based protein from fava bean and pea protein to help support muscles, 5g of fiber for digestive health, and 25 essential vitamins & minerals. Each vegan-friendly, non-GMO* shake is dairy-free, with no soy, cholesterol, or artificial sweeteners, colors, or flavors. And they’re gluten-free and lactose-free. Available in Vanilla and Chocolate flavors, each shake is naturally sweetened for delicious taste—and backed by our Great Taste Guarantee! If you’re not 100% satisfied with the flavor, we’ll give you your money back within 30 days.†
* Ingredients not genetically engineered.
† See product packaging for instructions and restrictions or visit ensure.com
",Tetra, Case of 12                 ,11,oz
Ensure Plant-Based Protein Nutrition Shake,$32.97,In stock,SKU#:67450,"100% PLANT-BASED PROTEIN: 20g of protein from fava bean and pea protein to support muscle health
FREE FROM: Dairy, soy, and gluten. NO artificial sweeteners, flavors, or colors; it’s non-GMO* and has NO cholesterol
GREAT TASTE GUARANTEED: Our Vanilla & Chocolate flavors are delicious! If you don’t agree, you’ll get your money back!†
TARGETED NUTRITION: 180 nutritious calories, essential nutrients, and a good source of fiber for digestive health
#1 BRAND: Ensure is the #1 doctor-recommended brand—with trusted options to help meet your nutrition goals

Ensure Plant-Based Protein nutrition shakes have 20g of plant-based protein from fava bean and pea protein to help support muscles, 5g of fiber for digestive health, and 25 essential vitamins & minerals. Each vegan-friendly, non-GMO* shake is dairy-free, with no soy, cholesterol, or artificial sweeteners, colors, or flavors. And they’re gluten-free and lactose-free. Available in Vanilla and Chocolate flavors, each shake is naturally sweetened for delicious taste—and backed by our Great Taste Guarantee! If you’re not 100% satisfied with the flavor, we’ll give you your money back within 30 days.†
* Ingredients not genetically engineered.
† See product packaging for instructions and restrictions or visit ensure.com
",Tetra, Case of 12                 ,11,oz
Ensure Compact Therapeutic Nutrition Shake,$49.00,In stock,SKU#:64356,"STRENGTH & ENERGY: Nutrition scientifically designed for Strength & Energy
COMPLETE, COMPACT NUTRITION: Get the complete nutrition of Ensure Original in half the size, Each 4 fl oz bottle has 9 grams of protein, 220 nutritious calories, and 26 vitamins and minerals.
GREAT TASTE: A great tasting way to get protein and antioxidants (Vitamins C, E, & Selenium) every day.
DAILY USE: Drink 1-2 shakes daily.
Suitable for lactose intolerance and gluten-free. (Not for people with galactosemia.)

Ensure Compact Nutrition Shake provides the complete, balanced nutrition of Ensure Original in half the size.* Perfect for those having difficulty drinking a full shake or looking for a more convenient nutrition option, Ensure Compact provides 9 grams of high-quality protein, 220 calories, and 26 essential vitamins and minerals, in an easy-to-drink 4 fl oz shake. Ensure Compact has the same great taste you expect from Ensure and is available in Vanilla and Milk Chocolate flavors. 
*4 fl oz in Ensure Compact compared to 8 fl oz in Ensure Original.
",bottle, Case of 24                ,4,oz
Ensure Compact Therapeutic Nutrition Shake,$49.00,In stock,SKU#:64362,"STRENGTH & ENERGY: Nutrition scientifically designed for Strength & Energy
COMPLETE, COMPACT NUTRITION: Get the complete nutrition of Ensure Original in half the size. Each 4 fl oz bottle has 9 grams of protein, 220 nutritious calories, and 26 vitamins and minerals.
GREAT TASTE: A great tasting way to get protein and antioxidants (Vitamins C, E, & Selenium) every day.
DAILY USE: Drink 1-2 shakes daily.
Suitable for lactose intolerance and gluten-free. (Not for people with galactosemia.)

Ensure Compact Nutrition Shake provides the complete, balanced nutrition of Ensure Original in half the size.* Perfect for those having difficulty drinking a full shake or looking for a more convenient nutrition option, Ensure Compact provides 9 grams of high-quality protein, 220 calories, and 26 essential vitamins and minerals, in an easy-to-drink 4 fl oz shake. Ensure Compact has the same great taste you expect from Ensure and is available in Milk Chocolate and Vanilla flavors. 
*4 fl oz in Ensure Compact compared to 8 fl oz in Ensure Original.
",bottle, Case of 24                ,4,oz
Ensure Pudding,$77.88,In stock,SKU#:54844,"Ensure Pudding is a nutritious alternative to other snacks or desserts. It provides a source of complete, balanced nutrition in a delicious easy-to-eat form. It is appropriate for those who have malnutrition, are at nutritional risk, experiencing involuntary weight loss, or on a fluid-restricted or volume-limited diet.

Good source of fiber to help maintain regularity
Good source of 24 essential vitamins and minerals
Good source of plant-based omega-3 fatty acid ALA to support heart health
Convenient; needs no refrigeration

For patients on consistency-modified diets (eg, soft pureed, or full liquid).
For patients with dysphagia. For oral use.
",cup, Case of 48                ,4,oz
Ensure Pudding,$77.88,In stock,SKU#:54846,"Ensure Pudding is a nutritious alternative to other snacks or desserts. It provides a source of complete, balanced nutrition in a delicious easy-to-eat form. It is appropriate for those who have malnutrition, are at nutritional risk, experiencing involuntary weight loss, or on a fluid-restricted or volume-limited diet.

Good source of fiber to help maintain regularity
Good source of 24 essential vitamins and minerals
Good source of plant-based omega-3 fatty acid ALA to support heart health
Convenient; needs no refrigeration

For patients on consistency-modified diets (eg, soft pureed, or full liquid).
For patients with dysphagia. For oral use.
",cup, Case of 48                ,4,oz
